INFO 2025-04-12 17:32:17,854 autoreload 10704 17548 Watching for file changes with StatReloader
INFO 2025-04-12 17:40:48,881 basehttp 10704 6892 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:48,891 basehttp 10704 13436 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:48,892 basehttp 10704 18152 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:50,650 basehttp 10704 13436 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:50,650 basehttp 10704 18152 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:50,663 basehttp 10704 1956 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:50,667 basehttp 10704 6300 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:40:53,809 basehttp 10704 6300 "GET /events/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:53,809 basehttp 10704 1956 "GET /soldiers/ HTTP/1.1" 302 0
INFO 2025-04-12 17:40:53,825 basehttp 10704 15264 "GET /he/events/ HTTP/1.1" 200 120
INFO 2025-04-12 17:40:53,826 basehttp 10704 1712 "GET /he/soldiers/ HTTP/1.1" 200 5731
INFO 2025-04-12 17:41:25,262 autoreload 10704 17548 C:\Users\nir41\OneDrive\Desktop\Cursor AI\Final-Project\ww2map\mapapp\models.py changed, reloading.
